epoch,accuracy,loss,lr,top3,val_accuracy,val_loss,val_top3
0,0.40150779485702515,2.3803908824920654,0.0008,0.7074416279792786,0.5305421948432922,1.7821531295776367,0.8599862456321716
1,0.5916828513145447,1.4827007055282593,0.0008,0.8782830834388733,0.5737817287445068,1.6588093042373657,0.8840082287788391
2,0.6512646079063416,1.2588707208633423,0.0008,0.9216926097869873,0.6046671271324158,1.555759310722351,0.9100891947746277
3,0.6961332559585571,1.1274397373199463,0.0008,0.9457684755325317,0.592999279499054,1.5665171146392822,0.919011652469635
4,0.7289640307426453,1.0433993339538574,0.0008,0.9569552540779114,0.6369251608848572,1.456572413444519,0.9320521354675293
5,0.7413667440414429,0.9806362986564636,0.0008,0.9630350470542908,0.64310222864151,1.4319417476654053,0.9347975254058838
6,0.7611867785453796,0.9289613366127014,0.0008,0.9731274247169495,0.6396705508232117,1.3938767910003662,0.9375428557395935
7,0.7780885100364685,0.8710864186286926,0.0008,0.976288914680481,0.6499656438827515,1.3818471431732178,0.9327384829521179
8,0.7913424372673035,0.8425481915473938,0.0008,0.9799367785453796,0.6465339660644531,1.3618372678756714,0.9327384829521179
9,0.8028939962387085,0.8007399439811707,0.0008,0.9824903011322021,0.6684969067573547,1.31663978099823,0.9423472881317139
10,0.8155398964881897,0.7624984979629517,0.0008,0.9838278293609619,0.6595744490623474,1.3369171619415283,0.940288245677948
11,0.8107976913452148,0.7572669982910156,0.0008,0.9850437641143799,0.6767330169677734,1.2730741500854492,0.949897050857544
12,0.825875461101532,0.7226759195327759,0.0008,0.9854085445404053,0.6623198390007019,1.313110113143921,0.9334248304367065
13,0.8272130489349365,0.7022784948348999,0.0008,0.987232506275177,0.6684969067573547,1.2813211679458618,0.9396018981933594
14,0.8339007496833801,0.6826417446136475,0.0008,0.9888132214546204,0.6684969067573547,1.286696434020996,0.9327384829521179
15,0.842534065246582,0.6715690493583679,0.0008,0.989056408405304,0.681537389755249,1.257716178894043,0.9423472881317139
16,0.8381566405296326,0.6676185131072998,0.0008,0.9899075627326965,0.6753603219985962,1.2488737106323242,0.9396018981933594
17,0.8463035225868225,0.6517865061759949,0.0008,0.9896643757820129,0.6767330169677734,1.2400459051132202,0.9409745931625366
18,0.84375,0.6533437967300415,0.0008,0.9906371831893921,0.6575154066085815,1.2792465686798096,0.9382292032241821
19,0.8483706116676331,0.6332396864891052,0.0008,0.9901507496833801,0.6691832542419434,1.258665919303894,0.9375428557395935
20,0.8503161668777466,0.6256352663040161,0.0008,0.9902724027633667,0.6781056523323059,1.2615718841552734,0.9450926184654236
21,0.8518968820571899,0.6387426853179932,0.0008,0.9911235570907593,0.660260796546936,1.287593126296997,0.9313657879829407
22,0.8549367785453796,0.6296361088752747,0.0008,0.9903939962387085,0.6884008049964905,1.232957124710083,0.9423472881317139
23,0.8555447459220886,0.612906813621521,0.0008,0.9903939962387085,0.6904598474502563,1.2248668670654297,0.9526423811912537
24,0.8551799654960632,0.6143264174461365,0.0008,0.9910019636154175,0.6835964322090149,1.2314339876174927,0.9396018981933594
25,0.8563959002494812,0.6231004595756531,0.0008,0.9927042722702026,0.681537389755249,1.2309869527816772,0.9457789659500122
26,0.8556663393974304,0.6147082448005676,0.0008,0.9911235570907593,0.6787919998168945,1.2560995817184448,0.9485243558883667
27,0.8561527132987976,0.6307011246681213,0.0008,0.9911235570907593,0.6822237372398376,1.2575745582580566,0.9437199234962463
28,0.857611894607544,0.6185256838798523,0.0008,0.9910019636154175,0.6842827796936035,1.2263325452804565,0.9492107033729553
29,0.8714737296104431,0.5746699571609497,0.0004,0.993677020072937,0.7117364406585693,1.155253529548645,0.9464653134346008
30,0.888375461101532,0.5258992314338684,0.0004,0.9950146079063416,0.7089910507202148,1.145344853401184,0.9464653134346008
31,0.8897130489349365,0.5046762824058533,0.0004,0.9962305426597595,0.7103637456893921,1.1229838132858276,0.9547014236450195
32,0.8951848149299622,0.47635897994041443,0.0004,0.9961089491844177,0.7035003304481506,1.11705482006073,0.9526423811912537
33,0.8942120671272278,0.4605562686920166,0.0004,0.9975680708885193,0.7055593729019165,1.0846012830734253,0.949897050857544
34,0.8984678983688354,0.44553035497665405,0.0004,0.9961089491844177,0.702813982963562,1.0766713619232178,0.9505833387374878
35,0.8944552540779114,0.44197210669517517,0.0004,0.9958657622337341,0.7076183557510376,1.0630608797073364,0.9540150761604309
36,0.8955495953559875,0.43605902791023254,0.0004,0.9964737296104431,0.7089910507202148,1.045053243637085,0.9553877711296082
37,0.8996838331222534,0.41461506485939026,0.0004,0.9969601035118103,0.7206588983535767,1.0452730655670166,0.9485243558883667
38,0.8973735570907593,0.41788917779922485,0.0004,0.9965953230857849,0.7179135084152222,1.0528430938720703,0.9492107033729553
39,0.8983463048934937,0.4033757150173187,0.0004,0.9961089491844177,0.7055593729019165,1.0595132112503052,0.9505833387374878
40,0.8983463048934937,0.4003576338291168,0.0004,0.9972032904624939,0.7172271609306335,1.047299861907959,0.9533287286758423
41,0.8961575627326965,0.40097811818122864,0.0004,0.9964737296104431,0.6993822455406189,1.075940489768982,0.9464653134346008
42,0.9092898964881897,0.3775089383125305,0.0002,0.9967169165611267,0.7179135084152222,1.027805209159851,0.9526423811912537
43,0.9077091217041016,0.3641478717327118,0.0002,0.9973248839378357,0.7192862033843994,1.0153992176055908,0.9560741186141968
44,0.9143968820571899,0.3504466414451599,0.0002,0.9975680708885193,0.7220315337181091,0.999180257320404,0.9526423811912537
45,0.917193591594696,0.33961254358291626,0.0002,0.9976896643638611,0.7172271609306335,1.007774829864502,0.9526423811912537
46,0.9151264429092407,0.3365025818347931,0.0002,0.9979328513145447,0.7117364406585693,1.0063356161117554,0.951956033706665
47,0.9139105081558228,0.3310614824295044,0.0002,0.9986624717712402,0.719972550868988,0.9836404323577881,0.951956033706665
48,0.9122081995010376,0.3296119272708893,0.0002,0.9985408782958984,0.7206588983535767,0.9598684906959534,0.9560741186141968
49,0.9135457277297974,0.32299700379371643,0.0002,0.9980544447898865,0.7206588983535767,0.9837343692779541,0.9540150761604309
