epoch,accuracy,auc,loss,lr,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.892727255821228,0.9599618911743164,0.6632078886032104,0.001,0.8446733951568604,0.8936047554016113,0.9368529915809631,0.9836663603782654,0.47285038232803345,0.9293333292007446,0.9099217057228088
1,0.9301136136054993,0.979650616645813,0.4496827721595764,0.001,0.8953744173049927,0.9326067566871643,0.9363354444503784,0.9843240976333618,0.38047465682029724,0.9292389154434204,0.9086161851882935
2,0.9395454525947571,0.9850367903709412,0.34457603096961975,0.001,0.9080365300178528,0.9429308176040649,0.9549689888954163,0.9873975515365601,0.3074856698513031,0.9335887432098389,0.9543080925941467
3,0.9464772939682007,0.9890682697296143,0.28464335203170776,0.001,0.9140582084655762,0.9546887874603271,0.9497929811477661,0.9878000020980835,0.27761709690093994,0.9327296614646912,0.9412533044815063
4,0.9509090781211853,0.9902021884918213,0.25576648116111755,0.001,0.9223113059997559,0.9566962718963623,0.9497929811477661,0.9882344007492065,0.26113811135292053,0.9134734272956848,0.9647519588470459
5,0.9526136517524719,0.991216242313385,0.23573032021522522,0.001,0.9237990975379944,0.9595640301704407,0.9591097235679626,0.990254282951355,0.23449335992336273,0.9432258605957031,0.9543080925941467
6,0.9534090757369995,0.9913036823272705,0.22826503217220306,0.001,0.9267683625221252,0.9581301808357239,0.9544513821601868,0.9880903959274292,0.24365952610969543,0.934615433216095,0.9516971707344055
7,0.9560227394104004,0.9921016097068787,0.2216097116470337,0.001,0.9315145015716553,0.9595640301704407,0.9518633484840393,0.9893029928207397,0.24033081531524658,0.9190534949302673,0.9634464979171753
8,0.9543181657791138,0.990999698638916,0.2238786220550537,0.001,0.9269305467605591,0.9604243636131287,0.9585921764373779,0.9905984997749329,0.22472955286502838,0.9420103430747986,0.9543080925941467
9,0.9543181657791138,0.9917973875999451,0.21871913969516754,0.001,0.930264949798584,0.9564094543457031,0.9560041427612305,0.9894452691078186,0.23124368488788605,0.9337579607963562,0.9569190740585327
10,0.9581817984580994,0.9923601150512695,0.21490409970283508,0.001,0.9337969422340393,0.9627186059951782,0.9560041427612305,0.9897671937942505,0.23001793026924133,0.9348658919334412,0.9556136131286621
11,0.9602272510528564,0.9932646751403809,0.20546692609786987,0.001,0.9367864727973938,0.9647260904312134,0.9560041427612305,0.990311861038208,0.2250576615333557,0.9315589070320129,0.9595300555229187
12,0.9580681920051575,0.9925167560577393,0.20834043622016907,0.001,0.9318559765815735,0.9647260904312134,0.9528985619544983,0.9899899959564209,0.22658731043338776,0.9411764740943909,0.939947783946991
13,0.9614772796630859,0.9937447309494019,0.20005522668361664,0.001,0.9399105310440063,0.964439332485199,0.95652174949646,0.990628719329834,0.22306111454963684,0.9283919334411621,0.9647519588470459
14,0.9620454907417297,0.9933889508247375,0.2011633664369583,0.001,0.9412258267402649,0.964439332485199,0.9544513821601868,0.9903231859207153,0.22031766176223755,0.9302030205726624,0.9569190740585327
15,0.9589772820472717,0.9932680130004883,0.20542703568935394,0.001,0.9368361830711365,0.9612847566604614,0.955486536026001,0.9899008274078369,0.22543106973171234,0.9381443858146667,0.9503916501998901
16,0.9617045521736145,0.9935617446899414,0.20300140976905823,0.001,0.9387186765670776,0.9664467573165894,0.9513458013534546,0.9898472428321838,0.23097434639930725,0.9231738448143005,0.9569190740585327
17,0.9610227346420288,0.9932776689529419,0.2057952731847763,0.001,0.9376392364501953,0.9658731818199158,0.9528985619544983,0.990765392780304,0.22301159799098969,0.9224030375480652,0.9621409773826599
18,0.9630681872367859,0.9936184883117676,0.20216383039951324,0.001,0.9408812522888184,0.9675938487052917,0.9591097235679626,0.9902060627937317,0.22500132024288177,0.9386972784996033,0.9595300555229187
19,0.9637500047683716,0.9942192435264587,0.19635221362113953,0.001,0.9432008862495422,0.9667335152626038,0.9513458013534546,0.9901517629623413,0.22501833736896515,0.9296675324440002,0.9490861892700195
20,0.9702273011207581,0.9958462119102478,0.17651943862438202,0.0005,0.9518072009086609,0.974189817905426,0.9560041427612305,0.9916325211524963,0.20572341978549957,0.9272270798683167,0.9647519588470459
21,0.9736363887786865,0.9967128038406372,0.15805968642234802,0.0005,0.955499529838562,0.9790650606155396,0.955486536026001,0.9909769892692566,0.19896815717220306,0.9282116293907166,0.9621409773826599
22,0.9759091138839722,0.9973673224449158,0.14556065201759338,0.0005,0.9593267440795898,0.9807857275009155,0.9544513821601868,0.9904937744140625,0.19894567131996155,0.9258793592453003,0.9621409773826599
23,0.9743182063102722,0.9971118569374084,0.14143308997154236,0.0005,0.9565947651863098,0.9796386361122131,0.9580745697021484,0.9909646511077881,0.19106382131576538,0.9308176040649414,0.9660574793815613
24,0.9759091138839722,0.9975822567939758,0.1335153728723526,0.0005,0.9570192098617554,0.9833667278289795,0.9528985619544983,0.9904987812042236,0.18981154263019562,0.9224030375480652,0.9621409773826599
25,0.9761363863945007,0.9978137016296387,0.12827108800411224,0.0005,0.9601234793663025,0.9804989695549011,0.9632505178451538,0.9920304417610168,0.17450857162475586,0.94608473777771,0.9621409773826599
26,0.9755681753158569,0.99713134765625,0.13219203054904938,0.0005,0.9587773680686951,0.9804989695549011,0.9642857313156128,0.9916011691093445,0.17738249897956848,0.9383647441864014,0.9738903641700745
27,0.9737499952316284,0.9971048831939697,0.13338062167167664,0.0005,0.9575604200363159,0.9770575761795044,0.9580745697021484,0.9911522269248962,0.18323452770709991,0.9297364950180054,0.9673629403114319
28,0.9769318103790283,0.9975048303604126,0.12858618795871735,0.0005,0.9614952206611633,0.9810724854469299,0.9549689888954163,0.9915547370910645,0.18324321508407593,0.9324840903282166,0.9556136131286621
29,0.9777272939682007,0.9978685975074768,0.12210629880428314,0.0005,0.9631297588348389,0.9813593029975891,0.9601449370384216,0.9906325936317444,0.18870195746421814,0.9290161728858948,0.9738903641700745
30,0.9759091138839722,0.9977594614028931,0.12416891008615494,0.0005,0.9606189131736755,0.979351818561554,0.9560041427612305,0.9900466203689575,0.18883788585662842,0.9315589070320129,0.9595300555229187
31,0.9798863530158997,0.9980092644691467,0.1170554980635643,0.00025,0.9667231440544128,0.9830799698829651,0.9596273303031921,0.9911297559738159,0.1805083453655243,0.9343434572219849,0.9660574793815613
32,0.9818181991577148,0.9983263611793518,0.11017972230911255,0.00025,0.9679325222969055,0.9868081212043762,0.9580745697021484,0.9909327030181885,0.17738217115402222,0.931904137134552,0.9647519588470459
33,0.9797727465629578,0.9983760714530945,0.10701286792755127,0.00025,0.966450572013855,0.9830799698829651,0.9616977572441101,0.9921200275421143,0.1688636839389801,0.9368686676025391,0.9686684012413025
34,0.9830681681632996,0.9986825585365295,0.1022956371307373,0.00025,0.9693475961685181,0.9885287880897522,0.9606625437736511,0.9920103549957275,0.16876207292079926,0.932330846786499,0.9712793827056885
35,0.9826136231422424,0.9988324046134949,0.09755849093198776,0.00025,0.9730420708656311,0.9833667278289795,0.9596273303031921,0.9914141297340393,0.16514435410499573,0.9300000071525574,0.9712793827056885
36,0.9834091067314148,0.9988346099853516,0.09624220430850983,0.00025,0.9730954170227051,0.9853742122650146,0.9596273303031921,0.992498517036438,0.1566893607378006,0.9332494139671326,0.9673629403114319
37,0.984431803226471,0.9990238547325134,0.0917339026927948,0.00025,0.9720969200134277,0.9891023635864258,0.9637681245803833,0.9923217296600342,0.15830324590206146,0.9382871985435486,0.9725848436355591
38,0.9861363768577576,0.9988951086997986,0.09064490348100662,0.00025,0.9781187772750854,0.9870948791503906,0.955486536026001,0.9917109608650208,0.1686008870601654,0.9197531342506409,0.9725848436355591
39,0.9829545617103577,0.9987479448318481,0.09299388527870178,0.00025,0.9722615480422974,0.9850873947143555,0.9606625437736511,0.9919695258140564,0.15748071670532227,0.9378172159194946,0.9647519588470459
40,0.9836363792419434,0.9989097714424133,0.08972816169261932,0.00025,0.9717752933502197,0.987381637096405,0.9596273303031921,0.9923669695854187,0.15771165490150452,0.9321607947349548,0.9686684012413025
41,0.9845454692840576,0.9989563822746277,0.08741438388824463,0.00025,0.9718389511108398,0.9896758794784546,0.9596273303031921,0.9931573867797852,0.15591222047805786,0.9321607947349548,0.9686684012413025
42,0.9840909242630005,0.9988791942596436,0.08881695568561554,0.00025,0.9747518301010132,0.9853742122650146,0.9616977572441101,0.9923165440559387,0.15559855103492737,0.9390862584114075,0.9660574793815613
43,0.984318196773529,0.9988420605659485,0.08754333853721619,0.00025,0.9734237790107727,0.987381637096405,0.957556962966919,0.9922930002212524,0.16184167563915253,0.9232673048973083,0.9738903641700745
44,0.9847727417945862,0.9984537363052368,0.08757179975509644,0.00025,0.9723865985870361,0.9896758794784546,0.9601449370384216,0.9913475513458252,0.15615728497505188,0.9300873875617981,0.9725848436355591
45,0.9855681657791138,0.9987837076187134,0.08369480818510056,0.00025,0.9759206771850586,0.9879552125930786,0.9585921764373779,0.9920557737350464,0.1550632268190384,0.9375,0.9595300555229187
46,0.9837499856948853,0.9988631010055542,0.08542698621749878,0.00025,0.9728507399559021,0.986521303653717,0.9611801505088806,0.9921301603317261,0.15481820702552795,0.9378960728645325,0.9660574793815613
