epoch,accuracy,auc,loss,lr,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.8839772939682007,0.9523177146911621,0.6020283699035645,0.001,0.8289754390716553,0.8910237550735474,0.9316770434379578,0.9789975881576538,0.4277009069919586,0.9002525210380554,0.9308094382286072
1,0.9165909290313721,0.9748386144638062,0.40328195691108704,0.001,0.8709242343902588,0.9268711805343628,0.9290890693664551,0.9805784225463867,0.3475719392299652,0.9100390672683716,0.9112271666526794
2,0.923409104347229,0.9790033102035522,0.33419913053512573,0.001,0.8771788477897644,0.9380555748939514,0.9259834289550781,0.9786286354064941,0.3293381929397583,0.9125828146934509,0.8994778394699097
3,0.9325000047683716,0.9817489385604858,0.2995685338973999,0.001,0.8923243880271912,0.9435043931007385,0.922877848148346,0.9820042252540588,0.3030788004398346,0.9375886917114258,0.8629242777824402
4,0.9393181800842285,0.9848574995994568,0.271799236536026,0.001,0.9002440571784973,0.9523945450782776,0.9301242232322693,0.9816352725028992,0.28719010949134827,0.9167767763137817,0.9060052633285522
5,0.9344318509101868,0.9850325584411621,0.26719215512275696,0.001,0.8971070051193237,0.9426440596580505,0.9363354444503784,0.9839310646057129,0.2762906849384308,0.9315436482429504,0.9060052633285522
6,0.9396591186523438,0.9851149320602417,0.26264384388923645,0.001,0.9016304016113281,0.9515342116355896,0.9404761791229248,0.9834424257278442,0.27038052678108215,0.9210866689682007,0.9295039176940918
7,0.9420454502105713,0.9866400957107544,0.25228115916252136,0.001,0.9041542410850525,0.9549756050109863,0.9435818195343018,0.9835824370384216,0.27535349130630493,0.9206146001815796,0.9386423230171204
8,0.9414772987365723,0.9864143133163452,0.25217941403388977,0.001,0.9060109853744507,0.9509606957435608,0.9378882050514221,0.9824090003967285,0.272338330745697,0.9130434989929199,0.9321148991584778
9,0.9418181777000427,0.9874632954597473,0.2462885081768036,0.001,0.9071995615959167,0.9503871202468872,0.9378882050514221,0.9833891987800598,0.26633256673812866,0.9078282713890076,0.9386423230171204
10,0.9418181777000427,0.987848699092865,0.24257521331310272,0.001,0.9076459407806396,0.9498135447502136,0.9399586319923401,0.9852192401885986,0.26073965430259705,0.9177377820014954,0.9321148991584778
