epoch,accuracy,loss,lr,top3,val_accuracy,val_loss,val_top3
0,0.31363004446029663,1.8975245952606201,0.0008,0.705146074295044,0.10236220061779022,2.371080160140991,0.36614173650741577
1,0.38664811849594116,1.6900262832641602,0.0008,0.7691237926483154,0.14566929638385773,2.4291303157806396,0.30708661675453186
2,0.42350485920906067,1.6019614934921265,0.0008,0.8011126518249512,0.14566929638385773,2.671222448348999,0.30708661675453186
3,0.44297635555267334,1.5426005125045776,0.0008,0.8143254518508911,0.14566929638385773,3.1224968433380127,0.30708661675453186
4,0.48400557041168213,1.4803721904754639,0.0008,0.840751051902771,0.15354330837726593,3.643113613128662,0.32283464074134827
5,0.4916550815105438,1.4499316215515137,0.0008,0.8442280888557434,0.16535432636737823,3.347588300704956,0.3425196707248688
6,0.5243393778800964,1.3588557243347168,0.0004,0.8720445036888123,0.20078739523887634,3.028381586074829,0.4921259880065918
7,0.5458970665931702,1.3227039575576782,0.0004,0.8880389332771301,0.31889763474464417,2.418431043624878,0.6614173054695129
8,0.5493741631507874,1.2965049743652344,0.0004,0.8873435258865356,0.4055117964744568,1.9245868921279907,0.7362204790115356
9,0.5764951109886169,1.2394744157791138,0.0004,0.9054242372512817,0.3818897604942322,1.8784781694412231,0.7283464670181274
10,0.5897079110145569,1.213675618171692,0.0004,0.9075104594230652,0.3897637724876404,1.7547358274459839,0.7913385629653931
11,0.6029207110404968,1.1577433347702026,0.0004,0.915855348110199,0.4881889820098877,1.5207542181015015,0.8622047305107117
12,0.6390820741653442,1.1111165285110474,0.0004,0.92767733335495,0.4094488024711609,1.6979557275772095,0.8228346705436707
13,0.6342142224311829,1.095078468322754,0.0004,0.9255911111831665,0.35826772451400757,1.8665603399276733,0.8149605989456177
14,0.6460361480712891,1.0521444082260132,0.0004,0.938108503818512,0.3897637724876404,2.036393642425537,0.751968502998352
15,0.6849791407585144,1.0035405158996582,0.0004,0.9443671703338623,0.4212598502635956,1.8654890060424805,0.7795275449752808
16,0.7002781629562378,0.9731853604316711,0.0004,0.947148859500885,0.33464565873146057,2.716170072555542,0.7677165269851685
17,0.7079277038574219,0.9010357856750488,0.0002,0.9568845629692078,0.36220473051071167,2.2172298431396484,0.751968502998352
18,0.74339359998703,0.8531506061553955,0.0002,0.9568845629692078,0.374015748500824,2.2808167934417725,0.7755905389785767
19,0.7413073778152466,0.8420292139053345,0.0002,0.9659249186515808,0.36614173650741577,2.4044716358184814,0.7598425149917603
20,0.7712100148200989,0.814751923084259,0.0002,0.9666203260421753,0.3937007784843445,2.016948699951172,0.787401556968689
21,0.7795549631118774,0.7656940817832947,0.0002,0.9680111408233643,0.4212598502635956,1.9715739488601685,0.8070865869522095
22,0.7816411852836609,0.7407597899436951,1e-04,0.9777469038963318,0.6456692814826965,1.0712900161743164,0.9409448504447937
23,0.7990264296531677,0.719880223274231,1e-04,0.9749652147293091,0.5354330539703369,1.2985907793045044,0.9094488024711609
24,0.8136300444602966,0.6961783170700073,1e-04,0.9763560891151428,0.5,1.4421581029891968,0.8937007784843445
25,0.8059805631637573,0.7131063342094421,1e-04,0.9763560891151428,0.5314960479736328,1.2688021659851074,0.9291338324546814
26,0.8038942813873291,0.6939876079559326,1e-04,0.9798331260681152,0.5157480239868164,1.4170030355453491,0.913385808467865
27,0.8087621927261353,0.6802668571472168,1e-04,0.9742698073387146,0.6299212574958801,1.1450351476669312,0.9291338324546814
28,0.8129346370697021,0.675815761089325,5e-05,0.9770514965057373,0.6220472455024719,1.1584044694900513,0.9330708384513855
29,0.8226704001426697,0.6441570520401001,5e-05,0.9784423112869263,0.5826771855354309,1.2430094480514526,0.9212598204612732
30,0.8372740149497986,0.6329303979873657,5e-05,0.9833101630210876,0.5944882035255432,1.1798757314682007,0.9212598204612732
31,0.8435326814651489,0.6239280104637146,5e-05,0.9840055704116821,0.6102362275123596,1.0952537059783936,0.9330708384513855
32,0.8435326814651489,0.6249176859855652,5e-05,0.9798331260681152,0.5787401795387268,1.1815680265426636,0.9291338324546814
33,0.8365786075592041,0.629300594329834,2.5e-05,0.9847009778022766,0.6692913174629211,1.0087230205535889,0.9448819160461426
34,0.8449234962463379,0.6135962605476379,2.5e-05,0.9812239408493042,0.6338582634925842,1.065355896949768,0.9409448504447937
35,0.849791407585144,0.5853397846221924,2.5e-05,0.9853963851928711,0.6535432934761047,1.0359231233596802,0.9448819160461426
36,0.851182222366333,0.5978295207023621,2.5e-05,0.9853963851928711,0.6456692814826965,1.0303943157196045,0.9448819160461426
37,0.852573037147522,0.5913828015327454,2.5e-05,0.9840055704116821,0.625984251499176,1.101123332977295,0.9448819160461426
38,0.8588317036628723,0.5880194306373596,2.5e-05,0.9853963851928711,0.6338582634925842,1.0354795455932617,0.9448819160461426
39,0.8574408888816833,0.5818133354187012,1.25e-05,0.9833101630210876,0.6496062874794006,1.0037198066711426,0.9488189220428467
40,0.8456189036369324,0.5955009460449219,1.25e-05,0.9888734221458435,0.6732283234596252,0.9891635179519653,0.9527559280395508
41,0.852573037147522,0.5995585322380066,1.25e-05,0.9826147556304932,0.6496062874794006,0.9947099685668945,0.9527559280395508
42,0.8449234962463379,0.5965337157249451,1.25e-05,0.9840055704116821,0.6456692814826965,0.9926903247833252,0.9488189220428467
43,0.8449234962463379,0.5902659893035889,1.25e-05,0.9826147556304932,0.6614173054695129,0.984527051448822,0.9488189220428467
44,0.849791407585144,0.5816226005554199,1.25e-05,0.9867871999740601,0.665354311466217,0.990910530090332,0.9527559280395508
45,0.8504868149757385,0.5784479975700378,1.25e-05,0.9853963851928711,0.6692913174629211,0.9833425283432007,0.9488189220428467
46,0.8553546667098999,0.5814158320426941,1.25e-05,0.9784423112869263,0.6732283234596252,0.9935207366943359,0.9488189220428467
47,0.8671766519546509,0.5640162229537964,1.25e-05,0.9840055704116821,0.6535432934761047,0.9863921999931335,0.9527559280395508
48,0.8560500741004944,0.5689689517021179,1.25e-05,0.9860917925834656,0.6771653294563293,0.9848546385765076,0.9527559280395508
49,0.8602225184440613,0.5766918659210205,1.25e-05,0.9833101630210876,0.665354311466217,0.9843665957450867,0.9448819160461426
