epoch,accuracy,loss,lr,top3,val_accuracy,val_loss,val_top3
0,0.35469359159469604,2.442472219467163,0.0008,0.6541828513145447,0.4289636015892029,2.0330328941345215,0.7755662202835083
1,0.5393968820571899,1.614327073097229,0.0008,0.8432636260986328,0.45847630500793457,1.9869048595428467,0.7961564660072327
2,0.6056663393974304,1.3713923692703247,0.0008,0.8955495953559875,0.4728894829750061,1.9762837886810303,0.8270418643951416
3,0.655642032623291,1.233693242073059,0.0008,0.9176799654960632,0.5017158389091492,1.9246796369552612,0.8325325846672058
4,0.6806906461715698,1.1664494276046753,0.0008,0.9339737296104431,0.49073436856269836,1.9398590326309204,0.8400823473930359
5,0.7030642032623291,1.09579336643219,0.0008,0.9475924372673035,0.5223060846328735,1.8963510990142822,0.8448867201805115
6,0.7166828513145447,1.0526002645492554,0.0008,0.9529426097869873,0.5072065591812134,1.9479103088378906,0.8496911525726318
7,0.7320038676261902,1.0132651329040527,0.0008,0.9587791562080383,0.4996568262577057,1.8979750871658325,0.8345916271209717
8,0.7457441687583923,0.9771804213523865,0.0008,0.9627918004989624,0.5195607542991638,1.9026916027069092,0.8606725931167603
9,0.7676313519477844,0.9406757950782776,0.0008,0.9651021361351013,0.5408373475074768,1.9173827171325684,0.8455730676651001
10,0.7751702070236206,0.9050126671791077,0.0008,0.9696011543273926,0.5305421948432922,1.8514982461929321,0.8538091778755188
11,0.7822227478027344,0.8976231217384338,0.0008,0.9716683030128479,0.5435826778411865,1.8630479574203491,0.8613589406013489
12,0.7858706116676331,0.8742319941520691,0.0008,0.9737353920936584,0.5339739322662354,1.8489187955856323,0.8538091778755188
13,0.7937743067741394,0.8492224216461182,0.0008,0.9777480363845825,0.5394646525382996,1.8908791542053223,0.8435140252113342
14,0.7979085445404053,0.8383830189704895,0.0008,0.975072979927063,0.5243651270866394,1.8915557861328125,0.8517501354217529
15,0.7975437641143799,0.843071460723877,0.0008,0.9766536951065063,0.5216197371482849,1.896774411201477,0.8393959999084473
16,0.8083657622337341,0.8174200057983398,0.0008,0.9798151850700378,0.5442690253257751,1.8434315919876099,0.8510637879371643
17,0.810676097869873,0.8126905560493469,0.0008,0.980301558971405,0.5387783050537109,1.83912992477417,0.859299898147583
18,0.8168774247169495,0.7836963534355164,0.0008,0.982125461101532,0.5394646525382996,1.8956222534179688,0.8524364829063416
19,0.8168774247169495,0.7888318300247192,0.0008,0.986138105392456,0.5456417202949524,1.8878735303878784,0.8654769659042358
20,0.8171206116676331,0.7899712920188904,0.0008,0.9827334880828857,0.5579958558082581,1.8739261627197266,0.8510637879371643
21,0.8283073902130127,0.766349732875824,0.0008,0.9863813519477844,0.5552505254745483,1.8575636148452759,0.8654769659042358
22,0.823443591594696,0.7724763751029968,0.0008,0.9849221706390381,0.5559368133544922,1.8612439632415771,0.8620452880859375
23,0.8448443412780762,0.7067086696624756,0.0004,0.9875972867012024,0.5634865760803223,1.7455278635025024,0.876458466053009
24,0.8590710163116455,0.6622384190559387,0.0004,0.989056408405304,0.5669183135032654,1.7516504526138306,0.8730267286300659
25,0.8649075627326965,0.6301363706588745,0.0004,0.9892995953559875,0.5593685507774353,1.6831101179122925,0.8627316355705261
26,0.8669747114181519,0.5995485782623291,0.0004,0.9916099309921265,0.5579958558082581,1.6890192031860352,0.8730267286300659
27,0.8681906461715698,0.589618444442749,0.0004,0.9911235570907593,0.5518187880516052,1.6801960468292236,0.8675360083580017
28,0.8741488456726074,0.5632807016372681,0.0004,0.9927042722702026,0.5641729235649109,1.6585112810134888,0.8647906184196472
29,0.8745136260986328,0.5554808378219604,0.0004,0.9917315244674683,0.5669183135032654,1.641808271408081,0.8668496608734131
30,0.8740272521972656,0.5367705225944519,0.0004,0.9916099309921265,0.5566231608390808,1.6474143266677856,0.8558682203292847
31,0.8753647804260254,0.5321033000946045,0.0004,0.9903939962387085,0.5490733981132507,1.643782138824463,0.8599862456321716
32,0.8777967095375061,0.5242885947227478,0.0004,0.9935554265975952,0.5662319660186768,1.6432130336761475,0.8641043305397034
33,0.8793774247169495,0.5244099497795105,0.0004,0.9916099309921265,0.5662319660186768,1.6231712102890015,0.868908703327179
34,0.8799853920936584,0.5119149088859558,0.0004,0.9927042722702026,0.5696637034416199,1.6058310270309448,0.859299898147583
35,0.8820525407791138,0.4960857629776001,0.0004,0.9946498274803162,0.5758407711982727,1.6118792295455933,0.8682223558425903
36,0.8826605081558228,0.4987625479698181,0.0004,0.9927042722702026,0.5758407711982727,1.6056982278823853,0.8702813982963562
37,0.8774319291114807,0.5028201341629028,0.0004,0.9922178983688354,0.5634865760803223,1.607972502708435,0.8613589406013489
38,0.8792558312416077,0.491759330034256,0.0004,0.9931906461715698,0.571722686290741,1.6175957918167114,0.859299898147583
39,0.8810797929763794,0.49350211024284363,0.0004,0.9935554265975952,0.5744680762290955,1.6492812633514404,0.8627316355705261
40,0.8864299654960632,0.4838378429412842,0.0004,0.993677020072937,0.5696637034416199,1.6298092603683472,0.8579272031784058
41,0.8831468820571899,0.47793060541152954,0.0004,0.9925826787948608,0.5785861015319824,1.5969326496124268,0.8675360083580017
42,0.8821741342544556,0.476666659116745,0.0004,0.9944066405296326,0.567604660987854,1.618766188621521,0.8654769659042358
43,0.8882538676261902,0.46409180760383606,0.0004,0.9953793883323669,0.5696637034416199,1.6058735847473145,0.8737130761146545
44,0.8863083720207214,0.4684823751449585,0.0004,0.9925826787948608,0.5545641779899597,1.662461519241333,0.8565545678138733
45,0.8847275972366333,0.4673541784286499,0.0004,0.9948930144309998,0.5730953812599182,1.581329107284546,0.859299898147583
46,0.8897130489349365,0.46746453642845154,0.0004,0.9937986135482788,0.5621139407157898,1.619565725326538,0.8620452880859375
47,0.8842412233352661,0.4643575847148895,0.0004,0.9931906461715698,0.5634865760803223,1.5753357410430908,0.8599862456321716
48,0.8878890872001648,0.459425151348114,0.0004,0.9937986135482788,0.5490733981132507,1.6067274808883667,0.8647906184196472
49,0.8863083720207214,0.45357730984687805,0.0004,0.993677020072937,0.5628002882003784,1.5921165943145752,0.8668496608734131
