epoch,accuracy,auc,loss,lr,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.9061363935470581,0.9674050211906433,0.5808296203613281,0.001,0.8543276190757751,0.9199885129928589,0.9611801505088806,0.9919617176055908,0.37363290786743164,0.9412515759468079,0.9621409773826599
1,0.9428409337997437,0.9867172837257385,0.3609381914138794,0.001,0.9103410243988037,0.94923996925354,0.957556962966919,0.9931372404098511,0.28601959347724915,0.9596773982048035,0.9321148991584778
2,0.9497727155685425,0.9891179203987122,0.28636643290519714,0.001,0.920464038848877,0.9558359384536743,0.9648033380508423,0.9942383766174316,0.22821533679962158,0.9451530575752258,0.9673629403114319
3,0.955227255821228,0.9912436008453369,0.23942327499389648,0.001,0.927564263343811,0.9621450901031494,0.9668737053871155,0.9932022094726562,0.21143026649951935,0.9454314708709717,0.9725848436355591
4,0.9597727060317993,0.9931186437606812,0.20978938043117523,0.001,0.9328544735908508,0.9681674242019653,0.9668737053871155,0.9936680197715759,0.19536566734313965,0.9500000476837158,0.9673629403114319
5,0.9569318294525146,0.9919470548629761,0.20791570842266083,0.001,0.9299944043159485,0.9638657569885254,0.9637681245803833,0.9937402009963989,0.192241370677948,0.9350000023841858,0.9765013456344604
6,0.9597727060317993,0.9933632612228394,0.19657443463802338,0.001,0.9364725947380066,0.9638657569885254,0.9679089188575745,0.9949347972869873,0.17722256481647491,0.9512820839881897,0.9686684012413025
7,0.9638636708259583,0.9938230514526367,0.18592987954616547,0.001,0.9400166273117065,0.9707484245300293,0.9710144996643066,0.9944813251495361,0.17472779750823975,0.9598446488380432,0.9673629403114319
8,0.9619318246841431,0.9937137365341187,0.18485412001609802,0.001,0.9360818266868591,0.9701749086380005,0.9730849266052246,0.9949141144752502,0.17374490201473236,0.967277467250824,0.9647519588470459
9,0.9631818532943726,0.9947047829627991,0.17651669681072235,0.001,0.9404066205024719,0.9684542417526245,0.968426525592804,0.9947892427444458,0.17287515103816986,0.9583874940872192,0.9621409773826599
10,0.9668182134628296,0.9948124289512634,0.1754784882068634,0.001,0.9471032023429871,0.9704616665840149,0.967391312122345,0.9952516555786133,0.17011158168315887,0.944374144077301,0.9751958250999451
11,0.9626136422157288,0.9941052794456482,0.1800445318222046,0.001,0.9373961091041565,0.9704616665840149,0.9653209447860718,0.9941729307174683,0.17446406185626984,0.9533073902130127,0.9595300555229187
12,0.9647727608680725,0.9942742586135864,0.1768987774848938,0.001,0.9426024556159973,0.9701749086380005,0.9725673198699951,0.9944841265678406,0.17117473483085632,0.9529860019683838,0.9791122674942017
13,0.9656818509101868,0.9948078393936157,0.17229585349559784,0.001,0.9444599151611328,0.9704616665840149,0.9694617390632629,0.9950473308563232,0.16622185707092285,0.9537869095802307,0.9699739217758179
14,0.9659091234207153,0.9949107766151428,0.16941122710704803,0.001,0.9427618980407715,0.9730426669120789,0.9710144996643066,0.9952718019485474,0.1618383824825287,0.9562981724739075,0.9712793827056885
15,0.9659091234207153,0.9947400093078613,0.1722692996263504,0.001,0.9454850554466248,0.9698880910873413,0.9715321063995361,0.9946532249450684,0.16714558005332947,0.9494310617446899,0.980417788028717
16,0.9675000309944153,0.9954378604888916,0.16387353837490082,0.001,0.9469422101974487,0.97246915102005,0.9694617390632629,0.99347984790802,0.1727157086133957,0.9491740465164185,0.9751958250999451
17,0.9648863673210144,0.9953511357307434,0.1670873761177063,0.001,0.9423719644546509,0.9707484245300293,0.9689441323280334,0.993979811668396,0.16998904943466187,0.9479694962501526,0.9751958250999451
18,0.9672727584838867,0.9953703880310059,0.16630785167217255,0.001,0.9469125270843506,0.9718955755233765,0.968426525592804,0.9928444623947144,0.17541596293449402,0.9490445852279663,0.9725848436355591
19,0.9692045450210571,0.9957745671272278,0.16228017210960388,0.001,0.9514318108558655,0.9718955755233765,0.9715321063995361,0.9945843815803528,0.16618824005126953,0.95286625623703,0.9765013456344604
