epoch,accuracy,auc,loss,lr,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.9864209294319153,0.995463490486145,0.1367538720369339,0.001,0.9824212789535522,0.9936907887458801,0.9889543652534485,0.9974209666252136,0.2156268060207367,0.9807938933372498,1.0
1,0.9896540641784668,0.9968199133872986,0.06949520856142044,0.001,0.9827926754951477,0.9991396069526672,0.9889543652534485,0.9977440237998962,0.05572051182389259,0.9807938933372498,1.0
2,0.9894924163818359,0.9966004490852356,0.05804164707660675,0.001,0.9822434782981873,0.9994264245033264,0.9889543652534485,0.9873310327529907,0.10205108672380447,0.9807938933372498,1.0
3,0.9891690611839294,0.9966637492179871,0.055076777935028076,0.001,0.9822335243225098,0.9988528490066528,0.9889543652534485,0.9946445822715759,0.06272352486848831,0.9807938933372498,1.0
4,0.9898157119750977,0.9966102242469788,0.05198201164603233,0.001,0.9822534918785095,0.9999999403953552,0.9889543652534485,0.9981784224510193,0.04810931161046028,0.9807938933372498,1.0
5,0.9896540641784668,0.9968340992927551,0.051695335656404495,0.001,0.9825204610824585,0.9994264245033264,0.9889543652534485,0.9982545971870422,0.045799486339092255,0.9807938933372498,1.0
6,0.9898157119750977,0.9971280694007874,0.04941999167203903,0.001,0.9825253486633301,0.9997131824493408,0.9889543652534485,0.9873310327529907,0.08672857284545898,0.9807938933372498,1.0
7,0.9899773597717285,0.9973692297935486,0.04710587486624718,0.001,0.9825302958488464,0.9999999403953552,0.9889543652534485,0.9978002309799194,0.04562773555517197,0.9807938933372498,1.0
8,0.9896540641784668,0.9973329901695251,0.04736245051026344,0.001,0.9827926754951477,0.9991396069526672,0.9889543652534485,0.9975687265396118,0.04818432405591011,0.9807938933372498,1.0
9,0.9886841177940369,0.9969305396080017,0.05176415666937828,0.001,0.9814032316207886,0.9988528490066528,0.9889543652534485,0.9873310327529907,0.08377065509557724,0.9807938933372498,1.0
10,0.9893307089805603,0.9975233674049377,0.04968272149562836,0.001,0.9827829599380493,0.9985660314559937,0.9889543652534485,0.996444046497345,0.051415856927633286,0.9807938933372498,1.0
11,0.9899773597717285,0.9968786835670471,0.04960136488080025,0.001,0.9825302958488464,0.9999999403953552,0.9889543652534485,0.9956226348876953,0.05946849659085274,0.9807938933372498,1.0
12,0.9898157119750977,0.9978359937667847,0.044173575937747955,0.001,0.9825253486633301,0.9997131824493408,0.9889543652534485,0.9904525279998779,0.07542462646961212,0.9807938933372498,1.0
13,0.9904623031616211,0.9982427954673767,0.040227632969617844,0.0005,0.9841808080673218,0.9991396069526672,0.9631811380386353,0.9971573948860168,0.0906113013625145,0.9850948452949524,0.9490861892700195
14,0.9907856583595276,0.998466968536377,0.03742038086056709,0.0005,0.9852858185768127,0.9985660314559937,0.9440353512763977,0.9972368478775024,0.12484477460384369,0.9859155416488647,0.9138381481170654
15,0.9909473061561584,0.9987943768501282,0.03516392409801483,0.0005,0.986666738986969,0.9974189400672913,0.9889543652534485,0.9977296590805054,0.04412643611431122,0.9807938933372498,1.0
16,0.9909473061561584,0.9989050030708313,0.03409167379140854,0.0005,0.9869429469108582,0.9971321821212769,0.9528718590736389,0.9968464970588684,0.12049149721860886,0.9861495494842529,0.9295039176940918
17,0.9917555451393127,0.9991216063499451,0.03236579895019531,0.0005,0.9872376322746277,0.9982792735099792,0.9867452383041382,0.9962477684020996,0.05217990651726723,0.98195880651474,0.9947780966758728
