epoch,accuracy,loss,lr,top3,val_accuracy,val_loss,val_top3
0,0.40611961483955383,2.3869478702545166,0.0008,0.7267037630081177,0.586614191532135,1.5119279623031616,0.8779527544975281
1,0.6223922371864319,1.4911189079284668,0.0008,0.9095966815948486,0.5944882035255432,1.4416393041610718,0.9015747904777527
2,0.7114047408103943,1.2307236194610596,0.0008,0.9527121186256409,0.6377952694892883,1.4546228647232056,0.9055117964744568
3,0.7892906665802002,1.0222045183181763,0.0008,0.9728789925575256,0.6377952694892883,1.391052484512329,0.9330708384513855
4,0.8449234962463379,0.8878860473632812,0.0008,0.9840055704116821,0.6535432934761047,1.4057384729385376,0.9212598204612732
5,0.852573037147522,0.8776849508285522,0.0008,0.9888734221458435,0.6377952694892883,1.4616713523864746,0.9409448504447937
6,0.8762170076370239,0.7853589057922363,0.0008,0.988178014755249,0.6377952694892883,1.423114538192749,0.9370078444480896
7,0.8783032298088074,0.7639196515083313,0.0008,0.9874826073646545,0.6574802994728088,1.5046583414077759,0.9409448504447937
8,0.8949930667877197,0.7233319878578186,0.0008,0.9951321482658386,0.625984251499176,1.4773273468017578,0.9409448504447937
9,0.9193324446678162,0.6708617210388184,0.0004,0.9958275556564331,0.6299212574958801,1.4544018507003784,0.9527559280395508
10,0.9235048890113831,0.650577962398529,0.0004,0.9958275556564331,0.6535432934761047,1.469849944114685,0.9566929340362549
11,0.926286518573761,0.6170867085456848,0.0004,0.9979137778282166,0.6377952694892883,1.4247220754623413,0.9645669460296631
12,0.9304589629173279,0.6073296070098877,0.0004,0.9965229630470276,0.6535432934761047,1.456172227859497,0.960629940032959
13,0.9394993185997009,0.5975058078765869,0.0004,0.998609185218811,0.6496062874794006,1.4262762069702148,0.960629940032959
14,0.9339360594749451,0.5866788625717163,0.0002,0.9944367408752441,0.6456692814826965,1.3931102752685547,0.960629940032959
15,0.9478442668914795,0.5617594122886658,0.0002,0.9958275556564331,0.665354311466217,1.41158926486969,0.960629940032959
16,0.936717689037323,0.5895684361457825,0.0002,0.9965229630470276,0.6535432934761047,1.3772691488265991,0.960629940032959
17,0.9547983407974243,0.5393953323364258,0.0002,0.9979137778282166,0.6535432934761047,1.3671653270721436,0.9763779640197754
18,0.9506258964538574,0.5422642827033997,0.0002,0.998609185218811,0.6614173054695129,1.3957968950271606,0.9763779640197754
19,0.9506258964538574,0.5416879057884216,0.0002,0.9979137778282166,0.6614173054695129,1.357683777809143,0.9685039520263672
20,0.9547983407974243,0.5383421182632446,0.0002,0.9979137778282166,0.6535432934761047,1.381738305091858,0.9685039520263672
21,0.9575799703598022,0.5270107984542847,0.0002,0.9993045926094055,0.6417322754859924,1.3543024063110352,0.9763779640197754
22,0.9575799703598022,0.5139076709747314,0.0002,0.998609185218811,0.6535432934761047,1.3806182146072388,0.9645669460296631
23,0.9666203260421753,0.5041951537132263,0.0002,0.998609185218811,0.6496062874794006,1.3506499528884888,0.9685039520263672
24,0.9652295112609863,0.4904986321926117,0.0002,0.9993045926094055,0.6574802994728088,1.3546652793884277,0.9566929340362549
25,0.9624478816986084,0.4943217933177948,0.0002,0.9993045926094055,0.6456692814826965,1.343996286392212,0.9724409580230713
26,0.9645341038703918,0.48593148589134216,0.0002,0.9993045926094055,0.6377952694892883,1.372824788093567,0.9685039520263672
27,0.9638386964797974,0.4798957109451294,0.0002,1.0,0.6496062874794006,1.4206476211547852,0.9566929340362549
